QQQ (INVESCO QQQ TRUST, SERIES 1),178.99,-0.04,
Jul 22 2018 @ 02:52 ET,Bid,178.98,Ask,178.99,Size,5x34,Vol,35907619,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 115.00 (QQQ1820G115-OG),0.0,0.0,61.84,66.09,0,22,2018 Jul 20 115.00 (QQQ1820S115-OG),0.02,0.0,0.0,2.13,0,915,
2018 Jul 20 115.00 (QQQ1820G115-P),64.80,0.0,62.09,65.84,0,22,2018 Jul 20 115.00 (QQQ1820S115-P),0.36,0.0,0.0,0.0,0,915,
2018 Jul 20 115.00 (QQQ1820G115-S),0.0,0.0,62.09,65.84,0,22,2018 Jul 20 115.00 (QQQ1820S115-S),0.15,0.0,0.0,1.88,0,915,
2018 Jul 20 115.00 (QQQ1820G115-X),55.10,0.0,61.50,66.42,0,22,2018 Jul 20 115.00 (QQQ1820S115-X),0.02,0.0,0.0,0.51,0,915,
2018 Jul 20 115.00 (QQQ1820G115-Y),53.58,0.0,61.50,66.50,0,22,2018 Jul 20 115.00 (QQQ1820S115-Y),0.11,0.0,0.0,0.01,0,915,
2018 Jul 20 120.00 (QQQ1820G120),59.32,+6.62,58.37,59.50,2,6,2018 Jul 20 120.00 (QQQ1820S120),0.01,0.0,0.0,0.01,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-3),59.32,+16.97,58.37,59.50,1,6,2018 Jul 20 120.00 (QQQ1820S120-3),0.01,0.0,0.0,0.52,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-4),47.96,0.0,58.37,59.50,0,6,2018 Jul 20 120.00 (QQQ1820S120-4),0.02,0.0,0.0,0.52,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-8),45.04,0.0,57.09,60.84,0,6,2018 Jul 20 120.00 (QQQ1820S120-8),0.01,0.0,0.0,1.88,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-A),48.10,0.0,57.09,60.84,0,6,2018 Jul 20 120.00 (QQQ1820S120-A),0.01,0.0,0.0,1.88,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-B),0.0,0.0,56.55,61.50,0,6,2018 Jul 20 120.00 (QQQ1820S120-B),0.29,0.0,0.0,2.13,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-E),46.72,0.0,58.37,59.50,0,6,2018 Jul 20 120.00 (QQQ1820S120-E),0.01,0.0,0.0,1.88,0,1354,
