USO (UNITED STATES OIL FUND),14.15,+0.02,
Jul 22 2018 @ 03:03 ET,Bid,14.14,Ask,14.15,Size,0x0,Vol,22809485,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 7.00 (USO1820G7-OG),0.0,0.0,7.10,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-OG),0.0,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-P),0.0,0.0,0.0,0.0,0,0,2018 Jul 20 7.00 (USO1820S7-P),0.03,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-S),0.0,0.0,7.05,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-S),0.0,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-X),0.0,0.0,7.10,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-X),0.0,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-Y),0.0,0.0,4.50,9.50,0,0,2018 Jul 20 7.00 (USO1820S7-Y),0.0,0.0,0.0,0.01,0,1081,
2018 Jul 20 8.00 (USO1820G8),6.02,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8),0.01,0.0,0.0,0.01,0,161,
2018 Jul 20 8.00 (USO1820G8-3),0.0,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-3),0.0,0.0,0.0,0.06,0,161,
2018 Jul 20 8.00 (USO1820G8-4),0.0,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-4),0.01,0.0,0.0,0.06,0,161,
2018 Jul 20 8.00 (USO1820G8-8),6.04,0.0,5.85,6.45,0,4,2018 Jul 20 8.00 (USO1820S8-8),0.28,0.0,0.0,0.06,0,161,
2018 Jul 20 8.00 (USO1820G8-A),0.0,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-A),0.08,0.0,0.0,0.0,0,161,
2018 Jul 20 8.00 (USO1820G8-B),0.0,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-B),0.14,0.0,0.0,0.06,0,161,
2018 Jul 20 8.00 (USO1820G8-E),6.02,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-E),0.01,0.0,0.0,0.05,0,161,
2018 Jul 20 8.00 (USO1820G8-I),0.0,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-I),0.08,0.0,0.0,0.01,0,161,
2018 Jul 20 8.00 (USO1820G8-J),0.0,0.0,6.10,6.30,0,4,2018 Jul 20 8.00 (USO1820S8-J),0.0,0.0,0.0,0.06,0,161,
2018 Jul 20 8.00 (USO1820G8-K),0.0,0.0,3.70,8.50,0,4,2018 Jul 20 8.00 (USO1820S8-K),0.0,0.0,0.0,5.00,0,161,
2018 Jul 20 8.00 (USO1820G8-O),2.66,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-O),0.04,0.0,0.0,0.01,0,161,
2018 Jul 20 8.00 (USO1820G8-OG),0.0,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-OG),0.01,0.0,0.0,0.01,0,161,
2018 Jul 20 8.00 (USO1820G8-P),0.0,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-P),0.02,0.0,0.0,0.0,0,161,
2018 Jul 20 8.00 (USO1820G8-S),0.0,0.0,6.05,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-S),0.10,0.0,0.0,0.06,0,161,
2018 Jul 20 8.00 (USO1820G8-X),0.0,0.0,6.10,6.20,0,4,2018 Jul 20 8.00 (USO1820S8-X),0.04,0.0,0.0,0.06,0,161,
2018 Jul 20 8.00 (USO1820G8-Y),0.0,0.0,5.85,6.45,0,4,2018 Jul 20 8.00 (USO1820S8-Y),0.24,0.0,0.0,0.06,0,161,
2018 Jul 20 8.50 (USO1820G8.5),0.0,0.0,5.60,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-3),0.0,0.0,5.55,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5-3),0.0,0.0,0.0,0.21,0,0,
