Date,Open,High,Low,Close,Volume
7-Apr-16,205.14,205.56,203.09,203.95,111208660
6-Apr-16,204.29,206.49,203.98,206.42,91167807
5-Apr-16,204.67,206.26,203.89,204.19,90930441
4-Apr-16,206.83,207.07,205.89,206.25,62340197
1-Apr-16,204.35,207.14,203.98,206.92,112704924
31-Mar-16,205.91,206.41,205.33,205.52,93143793
30-Mar-16,206.30,206.87,205.59,206.02,83166291
29-Mar-16,202.76,205.25,202.40,205.12,90977994
28-Mar-16,203.61,203.86,202.70,203.24,61514340
24-Mar-16,202.00,203.16,201.74,203.12,83607327
23-Mar-16,204.11,204.33,203.01,203.21,79840502
22-Mar-16,203.76,205.23,203.57,204.56,96209380
21-Mar-16,204.07,204.94,203.80,204.67,70591212
18-Mar-16,204.17,204.78,203.80,204.38,134715170
17-Mar-16,203.24,205.23,202.77,204.63,130871283
16-Mar-16,201.60,203.82,201.55,203.34,125361832
15-Mar-16,201.36,202.53,201.05,202.17,93169090
14-Mar-16,202.16,203.04,201.77,202.50,73346912
11-Mar-16,201.26,202.81,199.52,202.76,135926900
10-Mar-16,199.96,201.07,197.38,199.54,154899074
9-Mar-16,199.36,199.79,198.43,199.38,93372316
8-Mar-16,199.32,199.92,198.21,198.40,121952823
7-Mar-16,199.34,201.07,199.25,200.59,99778790
4-Mar-16,200.01,201.35,199.03,200.43,127953606
3-Mar-16,198.79,199.80,198.11,199.78,94597431
2-Mar-16,197.74,199.06,197.25,199.00,101264715
1-Mar-16,195.01,198.21,194.45,198.11,139070843
29-Feb-16,195.11,196.23,193.33,193.35,122448542
26-Feb-16,196.57,196.68,194.90,195.09,128348228
25-Feb-16,193.73,195.55,192.83,195.54,109183249
24-Feb-16,190.63,193.53,189.32,193.20,149607920
23-Feb-16,194.00,194.32,192.18,192.32,109902798
22-Feb-16,193.87,194.95,193.79,194.78,101699014
19-Feb-16,191.17,192.18,190.45,192.00,114081542
18-Feb-16,193.20,193.27,191.72,192.09,101076515
17-Feb-16,191.16,193.32,191.01,192.88,134203601
16-Feb-16,188.77,189.81,187.63,189.78,115542766
12-Feb-16,184.96,186.65,183.96,186.63,127093730
11-Feb-16,182.34,184.10,181.09,182.86,214629542
10-Feb-16,186.41,188.34,185.12,185.27,146910485
9-Feb-16,183.36,186.94,183.20,185.43,179281791
8-Feb-16,185.77,186.12,182.80,185.42,189248416
5-Feb-16,190.99,191.67,187.20,187.95,178436180
4-Feb-16,190.71,192.75,189.96,191.60,137261874
3-Feb-16,191.41,191.78,187.10,191.30,204060878
2-Feb-16,191.96,191.97,189.54,190.16,175500039
1-Feb-16,192.53,194.58,191.84,193.65,133582159
29-Jan-16,190.02,193.88,189.88,193.72,204034161
28-Jan-16,189.96,190.20,187.16,189.11,142851654
27-Jan-16,189.58,191.56,187.06,188.13,184186327
26-Jan-16,188.42,190.53,188.02,190.20,138004751
25-Jan-16,189.92,190.15,187.41,187.64,127112162
22-Jan-16,189.78,190.76,188.88,190.52,166679398
21-Jan-16,186.21,188.87,184.64,186.69,191085235
20-Jan-16,185.03,187.50,181.02,185.65,283288870
